SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
,,,,,,,
,,,,,,,
,,,1-1-B,I-2,You look strong.,,
,,,,,,I- I’m somehow not surprised.,
,,,,,,You look so Strong.,
,,,,,The weak will be defeated by the strong.,,
,,,,,That's the way of the world!,,
,,,,,,Is that how your kind live in you realm?,
,,,,,You have a problem with that?,,
,,,,,,"N- no, it just sounds harsh..",
,,,,,No wonder you're so pathetic.,,
,,I-2,,,,,
,,,,,Arrrgghhh...,,
,,,,,,(She seems to be in a bad mood...),
,,,,,Oy!,,
,,,,,,Eh... Ah! Y- yes?,
,,,,,My fingers are itching for a fight.,,
,,,,,Yet no one here matches my power.,,
,,,,,Why do humans have to be so weak?!,,
,,,1-2-A,II-1,How about other succubi?,,
,,,,,,"How about other succubi, then?",
,,,,,,You don't fight them?,
,,,,,Hah! What do you expect from frail demons like them?,,
,,,,,The only demon who could take on my kind...,,
,,,,,...was Her Highness Agrath.,,
,,,,,,Oh... the Demon Queen...?,
,,,,,And the new ruler.,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1-2-B,II-5,Why do you have to fight?,,
,,,,,,D- do you really have to fight someone?,
,,,,,It's what keeps our blood boiling!,,
,,,,,"Since you can summon succubi, maybe you're hiding a secret power?!",,
,,,,,,"I- no, I'm not hiding anything!",
,,,,,"Ugh, pathetic.",,
,,,,,"I can't even lay a hand on you, no need to chicken out like that.",,
,,,,,,(She can't...?),
,,,,,Curse this rule.,,
,,I-3,,,,,
,,,,,**CRASH!!!**,,noIcon noCharName fontSize=Big1
,,,,,,W- what's that sound?,
,,,,,This is stupid!,,
,,,,,,Are you okay?,
,,,,,"I was in the middle of a fight, and I got summoned?!",,
,,,,,,M- my bad... I guess.,
,,,,,,What can I do to make you feel better...?,
,,,,,Find me someone to fight...,,
,,,,,Or I'll wreck this place!,,
,,,1-3-A,I-2,Let's calm down.,,
,,,,,,L- let's calm down first...,
,,,,,Who...,,
,,,,,,Who...?,
,,,,,"WHO DO YOU THINK YOU ARE, ORDERING ME AROUND LIKE THAT?!",,
,,,,,,...!!,
,,,,,"It was a good fight, too...",,
,,,,,How am I supposed to calm down now!,,
,,,1-3-B,II-1,Anyone is fine?,,
,,,,,,A- anyone is fine for you?,
,,,,,You have to find the strongest creature...,,
,,,,,"I don't care what it is. Be it a person, a beast...",,
,,,,,,B- beast?!,
,,,,,What's so shocking about that?!,,
,,,,,I can even fight the Demon King if I want to!,,
,,II-1,,,,,
,,,,,Huff... Puff...,,
,,,,,,"Oh, working out so early?",
,,,,,It's... necessary... to beat him...,,
,,,,,,The new ruler?,
,,,,,"Agghh, you're distracting me!",,
,,,,,,I- I’ll go then-,
,,,,,Asmodeus... I can't believe not a single one of us can beat him.,,
,,,,,As expected from the son of Her Highness...,,
,,,2-1-A,II-2,No one can beat him?,,
,,,,,,"That's insane, coming from you...",
,,,,,We've been trained to fight our whole lives.,,
,,,,,"Yet, he... out of nowhere... beat us all.",,
,,,,,What kind of training has he had?,,
,,,,,,I'm... I'm sorry to hear that...?,
,,,,,"Heh, it's irritating to lose, but the fight was good.",,
,,,,,I can't wait to have a rematch with him!,,
,,,,,,(I think the fight itself is what matters to her...?),
,,,2-1-B,III-1,Child of Agrath?,,
,,,,,,"Wait, does that mean that he's the son of the Demon Queen?",
,,,,,That's what he claimed.,,
,,,,,His power does remind me of hers...,,
,,,,,,That gets me thinking...,
,,,,,,How come no one knows about Agrath's whereabouts?,
,,,,,ARGH! HOW THE HELL SHOULD I KNOW?!?,,
,,,,,SHE JUST VANISHED!,,
,,,,,,...,
,,II-2,,,,,
,,,,,Did you bring someone who can fight?,,
,,,,,,T- that's not why I'm here...,
,,,,,"I have no use for you, then.",,
,,,,,,"Wait, I want to show you something...",
,,,,,What is it?,,
,,,,,It better be good... or else.,,
,,,,,,Here... an exercise machine... I thought you'd like to try it out.,
,,,,,"Hmph, how is a human tool gonna help me defeat Asmodeus?",,
,,,2-2-A,II-4,Why did you lose?,,
,,,,,,I can't imagine what sort of training you've had...,
,,,,,"You wouldn't survive it, seeing as we are trained to beat Queen Agrath herself.",,
,,,,,,"But you enjoyed the fight with Asmodeus, didn't you?",
,,,,,Yeah...,,
,,,,,...,,
,,,,,,Is something wrong?,
,,,,,Something doesn't really add up.,,
,,,,,"His power does match hers, but...",,
,,,,,"Ugh, to hell with that.",,
,,,2-2-B,II-3,About rematch,,
,,,,,,Are you going to have a rematch with him?,
,,,,,That's a stupid question.,,
,,,,,"NEXT TIME, I'M GONNA BEAT HIM TO PULP!",,
,,,,,,W- whoa.,
,,,,,,Do you actually hold a grudge or something-,
,,,,,Hah!,,
,,,,,Merely picturing my victory already has me excited!,,
,,,,,In that case...,,
,,,,,"FINISH YOUR BUSINESS NOW, AND SEND ME BACK!",,
,,,,,,(I- I can't tell her that I have no idea how to do that...),
,,II-3,,,,,
,,,,,Finished with your business yet?!,,
,,,,,,"If anything, it's just started...",
,,,,,Huh?!,,
,,,,,HOW LONG DO YOU PLAN TO KEEP ME HERE?!,,
,,,,,,Sorry...,
,,,,,,I... need more time...,
,,,,,"Tch, you're slowing me down too.",,
,,,,,With as much Carnal Essence as I've been collecting...,,
,,,,,I might be able to unleash my full power.,,
,,,,,I just need to go back.,,
,,,2-3-A,III-1,You’re so certain.,,
,,,,,,You sound so certain...,
,,,,,Confidence is part of power!,,
,,,,,Confidence lets you turn any situation around even if you're all beaten up and dying...,,
,,,,,,D- dying...,
,,,,,,How could you say it while smiling?,
,,,,,Hah! What doesn't kill you makes you stronger.,,
,,,,,"As long as you can breathe, you still can fight!",,
,,,,,,A- aren't you taking it too literally...?,
,,,2-3-B,III-2,Reason for fighting him?,,
,,,,,,I might be wrong but...,
,,,,,,Is it actually because of Queen Agrath?,
,,,,,Why do you suddenly bring her name up?,,
,,,,,,"Well... Asmodeus is her son, right?",
,,,,,,"Do you, perhaps, think that he's not worthy of the throne?",
,,,,,...That's not it.,,
,,,,,I told you I only like to fight!,,
,,,,,IT DOESN'T HAVE ANYTHING TO DO WITH HER!,,
,,II-4,,,,,
,,,,,Ugh... I smell.,,
,,,,,,I don't smell anything peculiar...,
,,,,,I smell different. Must be because I've been staying here too long.,,
,,,,,Is this the smell of humans?,,
,,,,,Feels like I've smelled this before.,,
,,,,,,Smelled it... in your realm?,
,,,,,Asmodeus.,,
,,,2-4-A,III-1,His smell?,,
,,,,,,You mean... he smells like a human?,
,,,,,I can't say that for sure.,,
,,,,,It's been a long time since I fought him.,,
,,,,,,"So you're not sure either, huh...",
,,,,,YOU'VE GOT A PROBLEM WITH THAT?!,,
,,,,,,N- no... Not at all!,
,,,,,,I’m- I'm just curious about how we smell different.,
,,,,,A human wouldn’t understand!,,
,,,2-4-B,III-4,Are you thinking...,,
,,,,,,D- do you think that he's....?,
,,,,,...,,
,,,,,That's not possible.,,
,,,,,There's no way he could beat us if he was human.,,
,,,,,,"Why not, though....?",
,,,,,HER HIGHNESS IS A PUREBLOOD!,,
,,,,,,...,
,,II-5,,,,,
,,,,,"Tch, no human can even make me sweat.",,
,,,,,,I heard that you've been going to that place frequently...,
,,,,,What? That underground fight club?,,
,,,,,That place is totally boring.,,
,,,,,,"Even those scary guys can't stand against you, eh?",
,,,,,Those lowly savages are nothing to us.,,
,,,,,"As expected, it has to be a higher demon.",,
,,,2-5-A,II-3,Like the ruler of your realm?,,
,,,,,,You mean... someone like the ruler of your realm?,
,,,,,?!,,
,,,,,Where did you hear about him?,,
,,,,,,"Well, other succubi-",
,,,,,Ugh. What a bunch of gossipers.,,
,,,,,,"Umm, so... you've fought him before?",
,,,,,Heh. I'm eagerly waiting for a rematch!,,
,,,,,,Rematch? Does that mean...,
,,,,,"He has the blood of Her Highness, what do you expect?!",,
,,,2-5-B,III-2,Higher demon?,,
,,,,,,"So, even other succubi are no match for you?",
,,,,,"Hah, they are just a bunch of frail demons.",,
,,,,,Even the queen didn't bother to challenge them like she challenged us!,,
,,,,,,The queen... Agrath?,
,,,,,Huh? A mere human like you knows about her?,,
,,,,,"Ah, silly me.",,
,,,,,"Of course, everyone would know a demon as powerful as her.",,
,,III-1,,,,,
,,,,,,"In your realm, what kind of training did you go through?",
,,,,,I We fight until the opponent is unable to stand.,,
,,,,,That's how we become unbreakable!,,
,,,,,,W- why would you go through all that?,
,,,,,The queen...,,
,,,,,"She challenged us a long, long time ago.",,
,,,,,But no one ever succeeded in defeating her.,,
,,,,,That's why we have to be strong...,,
,,,,,"No, we have to be the strongest.",,
,,,3-1-A,III-3,Asmodeus reminds you of her?,,
,,,,,,You still do this even though you can't fight her anymore?,
,,,,,That's just our nature. We live to fight and triumph!,,
,,,,,,Your desire to fight Asmodeus...,
,,,,,,Is it perhaps because he reminds you of Agrath?,
,,,,,What was that?!,,
,,,,,,N- nothing...,
,,,,,Strong opponents are who we're after!,,
,,,,,"Asmodeus happens to be one of them, that's all.",,
,,,3-1-B,III-4,Asmodeus as her replacement?,,
,,,,,,Now that she's gone...,
,,,,,,Asmodeus has taken her Place?,
,,,,,"Heh, he might be as strong as her, but...",,
,,,,,"As I thought, it’s still different.",,
,,,,,,"Well, they are different people...",
,,,,,,"...I mean, demons.",
,,,,,Even an idiot could tell.,,
,,,,,Quit stating the obvious.,,
,,III-2,,,,,
,,,,,,You look kind of worn out...,
,,,,,"No, I’m not.",,
,,,,,My training here is nothing compared to what I’ve been through in the realm.,,
,,,,,How can I be tired?!,,
,,,,,,N- no... Seems like you have a lot of things going on in your mind...,
,,,,,,Is it... because of Agrath?,
,,,,,"Tch, what are you trying to pull, Mr. know-it-all?",,
,,,3-2-A,EB,Who are you fighting for?,,
,,,,,,All this time...,
,,,,,,Have you been fighting because you can’t forget her?,
,,,,,Why would I want to forget her?!,,
,,,,,Battle with her was the best.,,
,,,,,I never felt so alive!,,
,,,,,,That’s why... You’re still chasing her shadow.,
,,,,,,"She’s already gone, Taura.",
,,,,,SHUT YOUR MOUTH!,,
,,,3-2-B,III-4,What’s so special about Agrath?,,
,,,,,,"You really adore her, huh...",
,,,,,"Rather than adoration, it’s more like respect.",,
,,,,,There’s no one like the Queen!,,
,,,,,,"Even the new ruler, Asmodeus?",
,,,,,"He’s strong alright, but there’s something different about him.",,
,,,,,Unlike Her Highness who had a strong demonic aura...,,
,,,,,,...What about him?,
,,,,,Never mind. It has nothing to do with you.,,
,,III-3,,,,,
,,,,,I see her picture everywhere.,,
,,,,,,Whose picture?,
,,,,,That yellow-haired girl.,,
,,,,,,Huh? Why are you suddenly interested...?,
,,,,,No. It's distracting me.,,
,,,,,,...,
,,,,,,Luna... she's a very important person to me.,
,,,,,,She's my wife...,
,,,,,"Huh, so this is all for her.",,
,,,3-3-A,EA,I’m doing the best I can.,,
,,,,,,"That day... when I lost her, it felt like my world crashed down on me.",
,,,,,,"It was my fault, too.",
,,,,,"Hmph, rather than moping around like that, you should roll up your sleeves and fight.",,
,,,,,Acting all weak like that won't help!,,
,,,,,,I’m... I’m not a fighter like you.,
,,,,,,"I can only do my best... Besides, I don't intend to forget her.",
,,,,,People like you confuse me.,,
,,,,,,"You wouldn't want to let your special person be forgotten, would you?",
,,,,,,"Like you fighting... and it's all for Agrath, right?",
,,,,,...,,
,,,3-3-B,EB,Might be the same as you to Agrath.,,
,,,,,,I think my feelings toward Luna are the same as yours for Agrath...,
,,,,,What would you know about us?,,
,,,,,,When she suddenly disappeared...,
,,,,,,Did you feel confused about your feelings towards her?,
,,,,,Urgghhh...,,
,,,,,She was powerful beyond measure... I don't know what happened to her...,,
,,,,,All this time I trained...,,
,,,,,"WHAT WAS IT FOR, IF SHE'S NOT COMING BACK!?",,
,,III-4,,,,,
,,,,,Too peaceful...,,
,,,,,,Are you finally feeling content here?,
,,,,,You wish.,,
,,,,,I need an adrenaline rush!,,
,,,,,,You're too powerful for us.,
,,,,,,If only I can find at least someone like your kind...,
,,,,,It would be even better if you could bring Asmodeus here to fight with me.,,
,,,,,,T- that's asking too much...,
,,,3-4-A,EB,How about Agrath?,,
,,,,,"Better than asking for you to find the queen, though.",,
,,,,,,...Do you think that... she could still be alive?,
,,,,,That's impossible.,,
,,,,,She disappeared thousands of years ago.,,
,,,,,,"But she's a demon, right?",
,,,,,,She could still be alive now.,
,,,,,Argh! Stop talking!,,
,,,,,Her son himself came to the realm and claimed her throne.,,
,,,,,That's enough proof for me!,,
,,,3-4-B,EA,I don't even know him.,,
,,,,,,"Besides, I don't know him...",
,,,,,"Psch, you won't even have the chance to see him.",,
,,,,,He's always busy with something.,,
,,,,,Just like you.,,
,,,,,,I- is that so...,
,,,,,The big difference is that you can't fight.,,
,,,,,,I'm... only doing what I can.,
,,,,,,,
,,EA,,,"To Taura, Jake is a frail little thing.",,
,,,,,"She loves his earnestness, but feels uneasy with his tiny body.",,
,,,,,"Therefore, she is determined to use her strength to protect Jake.",,
,,,,,"It took some time for Jake to adjust to his new life with Taura, but both are happy with each other.",,
,,EB,,,"Upon turning into a human, Taura decides to forget about her past.",,
,,,,,"Wanting to forget about his late wife as well, Jake proposes for them to get together.",,
,,,,,"However, in reality, Jake thinks about Luna all the time.",,
,,,,,"Feeling resentful, Taura can't control her anger and often beats Jake to a pulp.",,
4,Nocti,I-1,,,Nocti,,
,,,,,,"Hello, Nocti?",
,,,,,Hell- *burp* -ooo...,,
,,,,,,"Wait, are you drunk?",
,,,,,Uh... *hic* No?,,
,,,,,,Why are you drunk?,
,,,,,I like! Being drunk!,,
,,,1-1-A,I-2,Do succubi drink booze?,,
,,,,,,Have you been drinking?,
,,,,,Drinking? Drinking what? It's... Carnal Essence.,,
,,,,,,You're getting drunk from consuming too much Carnal Essence?,
,,,,,Yeaaah... and it feels... great!,,
,,,,,,"Are you alright, though?",
,,,,,I’m *hic* as great as everrrr!,,
,,,,,,But if you ask me... you don't seem well.,
,,,,,"Huh? Let me just rest, then...",,
,,,,,(Zzz...),,
,,,,,,She really conked out.,
,,,1-1-B,II-4,Do you need something to sober up?,,
,,,,,,You don't look okay. Do you need something to sober up?,
,,,,,No neeeed! I hate *hic* being sober...,,
,,,,,,"Can you understand what I'm saying, though?",
,,,,,,It would be a problem to bring you to town in your current state.,
,,,,,"No... no... I'm okaaaay, no problem!.",,
,,,,,,"Uh, if you say so.",
,,,,,Yes. Don't worry about me.,,
,,I-2,,,,,
,,,,,,"Nocti, those Carnal Essence crystals on your body...",
,,,,,,Are those normal?,
,,,,,Toootally! These babies... *burp* make me feel great!!,,
,,,,,,They don’t hurt?,
,,,,,Nope... Not at all...,,
,,,,,If anything... I'd rather stayyy...,,
,,,,,,Stay...?,
,,,,,Stay like this...,,
,,,,,,Do you mean stay drunk?,
,,,,,Yes... That's what the c-crystals do!,,
,,,1-2-A,II-1,You can't throw them away?,,
,,,,,,Can you throw them away?,
,,,,,Noooo... I don’t wanna...,,
,,,,,,"Why, though?",
,,,,,I told you. It feels... great! To be drunk!,,
,,,,,,Those crystals... Do they just appear naturally?,
,,,,,,Like zits?,
,,,,,Zits?,,
,,,,,Nah. This is because of the Kasu...,,
,,,,,But I don't mind... cuz it feels greaaaat. *hic*,,
,,,,,,"All right, then. Whatever floats your boat.",
,,,1-2-B,II-4,Are you comfortable?,,
,,,,,,"It doesn't seem comfortable, though.",
,,,,,You *hic* just don't understand...,,
,,,,,I don't... feel bothered.,,
,,,,,,Did you have any difficult issues back in your realm?,
,,,,,Wazzat? Why does that matter?,,
,,,,,,"Uh, it's just... getting drunk is how a lot of humans escape their problems.",
,,,,,,"They just drink it away. Or try to, anyway.",
,,,,,Meh... I don't have problems... like you humans.,,
,,,,,"I’m fine, I'm fine! Don't worry too much, Jakeyyy.",,
,,,,,,(Jakey...?),
,,I-3,,,,,
,,,,,,"Morning, Nocti",
,,,,,Hi hiiiiiii.,,
,,,,,,"Oh, so you're an early riser.",
,,,,,Yeaah... Unlike the Shyasta... Heheheh.,,
,,,,,(CRASH),,noIcon noCharName
,,,,,Whoops... I think... something broke?,,
,,,,,,...,
,,,,,"Aww Jakey, what's wrooong?",,
